"gene","logFC","FDR","add_variable","time","data_name"
"SCO7337",3.77,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO7337",-1.286,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO7337",-1.889,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO7338",2.809,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO7338",-1.089,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO7338",-1.889,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO0472",2.918,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO0472",3.178,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO0472",6.425,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO0473",2.215,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO0473",2.738,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO0473",4.368,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO0474",4.562,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO0474",3.059,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO0474",7.326,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO0475",3.495,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO0475",2.613,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO0475",5.664,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO0476",3.039,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO0476",3.648,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO0476",5.423,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO0477",1.138,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO0477",1.265,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO0477",2.139,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO2505",4.205,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO2505",3.12,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO2505",4.635,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO2506",3.38,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO2506",2.88,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO2506",4.05,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO2507",3.355,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO2507",3.11,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO2507",3.72,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO2508",1.795,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO2508",2.28,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO2508",1.795,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO3425",2.825,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO3425",2.292,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO3425",4.64,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO3426",3.605,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO3426",2.815,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO3426",6.455,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO3427",2.563,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO3427",2.54,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO3427",5.25,0,"DdraRKvsM145",60,"draRK_scoe"
